"invoice","productType","notes","price","quantity","amount","Title","ID","Created Date","Updated Date","Owner"
"b366cd07-41fa-47c0-a939-a58966e8bc1d","d406eff1-25c2-46d8-abc7-4cd0f77fb9a3","<ul><li>Request rides from a variety of vehicles, including:Cars (Economy, Business, and Max)</li><li>Track your driver&#x27;s location and ETA in real-time.</li><li>Get fare estimates before booking.</li><li>Pay with cash or card.</li><li>Trip scheduling</li><li>Driver Pereference</li><li>Real-time traffic updates</li><li>In-app chat with customer support</li><li>Loyalty program (Points)</li></ul><p> </p><p><span style=""font-style:italic""><span style=""text-decoration:underline""><span style=""font-weight:bold"">NOTE:</span></span></span></p><p><span style=""font-style:italic""><span style=""text-decoration:underline""><span style=""font-weight:bold"">Original Invoice amount is AED 56,126.14 + 5% VAT</span></span></span></p><p><span style=""font-style:italic""><span style=""text-decoration:underline""><span style=""font-weight:bold"">Cancelled final payment and adjusted invoice</span></span></span></p>",18556.83,1,18556.83,,"00201324-20d9-4193-b770-bd9f507ebf5b",2024-01-16T11:48:42Z,2024-09-06T09:29:28Z,"e168cbe8-c8cb-4ec3-b920-be764ec09acc"
"e9eba498-c1a3-48bb-9389-8cdecf5a379e","3393a717-a333-48a2-a785-ba2eebc00f68","<p><span style=""font-weight:bold"">Development</span></p><p>Main Pages &amp; Landing Pages</p><p>Arabic Language Switcher</p><p>Projects Repeater</p><p>Blog Setup</p><p>Basic SEO Setup &amp; Connetion</p>",14800,1,14800,,"0031b138-5f93-4dc2-b604-063aa2a0ce8c",2023-01-23T11:17:16Z,2023-01-23T11:28:39Z,"e168cbe8-c8cb-4ec3-b920-be764ec09acc"
"83c66a64-d50b-4140-906d-466cd5ed4e55","74bc6f85-06a7-480e-a30e-155b42f29627","<p>Email Address Renewal</p><ul><li>Email Renewal (Google Workspace - Gmail) </li><li>6 Accounts </li></ul><p> </p><p><span style=""font-style:italic"">Expiration 16th January 2027</span></p>",1850,1,1850,,"00bfb98a-ea6a-48e6-a154-cdbcd9592665",2026-01-14T08:53:53Z,2026-01-14T08:53:53Z,"01f011dc-8d52-4de4-9524-780ccef3313b"
"51f8f35f-13b6-4d94-8496-c09e8c29d2cc","3393a717-a333-48a2-a785-ba2eebc00f68","<p><span style=""font-weight:bold"">Payment Integration </span></p><p>Amazon Payment Services (APS) </p>",5500,1,5500,,"00feaa00-5f64-41fb-881e-c0602f70038b",2023-07-14T12:39:41Z,2023-09-01T09:32:48Z,"e168cbe8-c8cb-4ec3-b920-be764ec09acc"
"02fd6982-dffb-46ec-8028-65abfb3ffec8","cb3328a7-5aff-4fe7-921f-b585c4163dc8",,25525,1,25525,,"00ff7054-c050-4f28-aa02-b81ce3c201ad",2025-08-25T17:18:06Z,2025-08-25T17:18:06Z,"01f011dc-8d52-4de4-9524-780ccef3313b"
"7ac3707a-79f7-4800-9d76-92e1ccae5982","cb3328a7-5aff-4fe7-921f-b585c4163dc8",,333,1,333,,"014823b6-5d45-4016-9426-e2c04ee58775",2024-07-16T05:32:13Z,2024-07-16T05:32:13Z,"01f011dc-8d52-4de4-9524-780ccef3313b"
"300f0e5c-e6c9-4555-8db7-995ac23de969","aec19a7f-1b0b-4085-837e-7981ac0d259e","<p>Business Card Sample Production </p><p>Business Card Production 2750 pcs</p>",6100,1,6100,,"0177b07f-5dbe-4d6e-b038-a43753b0691c",2023-04-27T10:41:29Z,2023-04-27T10:43:02Z,"e168cbe8-c8cb-4ec3-b920-be764ec09acc"
"b5812063-5907-466d-b03e-29b20bfe3d48","9ce7b764-0240-4003-b858-3a24dc3e71f3","<p><span style=""font-weight:bold"">SEO - Kuwait Build 2026</span></p><ul><li>Monthly Brand Push</li><li>Press Release (English &amp; Arabic)</li><li>Google Search</li><li>Website Ranking</li></ul>",2000,1,2000,,"01961a96-41fa-4f3f-a651-fea1974167dd",2025-10-27T08:10:57Z,2025-10-27T08:10:57Z,"01f011dc-8d52-4de4-9524-780ccef3313b"
"f4ed3f70-7854-4dc4-b0fd-06e81410f217","9ce7b764-0240-4003-b858-3a24dc3e71f3","<p>Voice Over</p>",1500,1,1500,,"02341e95-561f-4d78-ba65-138b4b624f7a",2025-06-10T07:26:50Z,2025-06-10T07:30:14Z,"01f011dc-8d52-4de4-9524-780ccef3313b"
"8b851c1c-eff8-4785-a5ab-ba62ab43835d","cb3328a7-5aff-4fe7-921f-b585c4163dc8",,75,1,75,,"02867e25-edd3-4747-89d4-7a2d111d29ca",2025-05-29T07:47:00Z,2025-05-29T07:47:00Z,"01f011dc-8d52-4de4-9524-780ccef3313b"
"2285667a-abf7-45bb-b5cd-095ba81483d3","3393a717-a333-48a2-a785-ba2eebc00f68","<p>Overtime Work</p>",3500,1,3500,,"02d0e928-7b59-4d63-b7a8-cf45c08c72a2",2024-01-25T04:21:33Z,2024-01-25T04:21:33Z,"e168cbe8-c8cb-4ec3-b920-be764ec09acc"
"c872c9c8-3873-4bb4-a61e-8c0629ef9f83","5adee711-6197-4bbf-b057-460cfbc157db","<p>One-Pager Document - Elite Vacations</p>",50,1,50,,"0338f536-9c64-4b7b-b0c4-fc7e98ed440d",2025-05-16T07:20:33Z,2025-05-16T07:20:33Z,"01f011dc-8d52-4de4-9524-780ccef3313b"
"e8bd256e-0d12-4169-8cf0-6c8ef3108bc2","bc868749-c654-4d7e-95b0-6279f19026d7","<p>60-90 seconds video production in MP4 format - 16:9</p>",1500,1,1500,,"0368ac99-38c7-459d-963c-5143aba4057f",2024-06-28T06:55:12Z,2024-06-28T06:55:12Z,"01f011dc-8d52-4de4-9524-780ccef3313b"
"48a0a784-a188-46f5-9e61-c6dc0f0185ef","3393a717-a333-48a2-a785-ba2eebc00f68",,2500,1,2500,,"0388570f-850d-4d9e-8aa5-c33280b5f1ce",2025-07-21T11:16:28Z,2025-07-21T11:16:28Z,"01f011dc-8d52-4de4-9524-780ccef3313b"
"6a31ea62-f652-4a24-8955-c14601062567","5adee711-6197-4bbf-b057-460cfbc157db","<p><span style=""font-weight:bold"">Brand Guidelines - New Brand</span></p><ul><li>Includes logo (English), basic usage rules, colour palette, typography</li><li>Deliverables: PDF guideline document + logo files</li></ul>",3000,1,3000,,"03a9e0dd-3243-4372-9a2f-27d0e203c019",2025-10-07T09:40:04Z,2026-01-27T08:51:16Z,"01f011dc-8d52-4de4-9524-780ccef3313b"
"28612ab3-486d-49aa-8ef8-0f201b6c03e7","3393a717-a333-48a2-a785-ba2eebc00f68","<p>Editor X Ecommerce Design &amp; Development voa Wix Stores</p><p>Stripe Integration through Wix Pay</p><p>SEO Settings &amp; Google Registration</p>",4000,1,4000,,"03cbd7c0-4a28-446c-8ebc-c9d4d18b2e96",2023-02-02T07:25:19Z,2023-02-02T07:25:19Z,"e168cbe8-c8cb-4ec3-b920-be764ec09acc"
"446ccfc3-126a-4602-894a-1610a6eeec17","74bc6f85-06a7-480e-a30e-155b42f29627",,1500,1,1500,,"042acde5-02de-425d-8cb5-f82ef2cf9026",2023-02-17T06:09:23Z,2023-02-17T06:09:23Z,"e168cbe8-c8cb-4ec3-b920-be764ec09acc"
