"company","invoice","paymentNumber","payment","dueDate","paymentDate","amount","status","invoiceStatus","notes","paymentMethod","note","Debt Report","Payments","All Schedules","ID","Created Date","Updated Date","Owner","percentage","subInvoice"
"c46a0b82-78f2-4142-8e25-a9f3f16bda0a","71bf18ea-e3b4-4966-ba36-1b25922ca042",,"Full",2022-11-13T16:00:00Z,2023-01-10T16:00:00Z,4000,"Paid","Active","<p>12/06 - sent follow-up email</p><p>12/12 - sent follow-up email</p><p>12/16 - sent fu</p><p>12/29 - Chased Full Payment</p>","1e696b2d-37f8-4c75-ae62-d0f85cda27a7",,"/dashboard-debt-report/","/dashboard-payments/","/dashboard-all-schedules/","0079322e-84e1-49f0-9fd2-ffc3de152613",2022-11-28T18:06:33Z,2025-08-06T04:53:14Z,"e168cbe8-c8cb-4ec3-b920-be764ec09acc",,
"e2b67c24-6545-4ed4-953f-06c53d8f6e6b","fc0a0265-e7dc-44aa-8327-c50f49e5accb",,"Initial Payment",2024-09-08T16:00:00Z,2024-10-24T16:00:00Z,9450,"Paid","Active",,"1e696b2d-37f8-4c75-ae62-d0f85cda27a7",,"/dashboard-debt-report/","/dashboard-payments/","/dashboard-all-schedules/","01331c2f-58ca-4a4f-97e5-dec9500a9e5e",2024-07-30T06:17:07Z,2025-08-06T04:53:14Z,"01f011dc-8d52-4de4-9524-780ccef3313b",0,
"75be43f0-4a3a-44ed-8e43-cfe7fe4615c2","dbd4c5a0-d2c1-48e6-988a-4b928ec1c117",,"Due every 14th of the month",2026-03-13T20:00:00Z,2026-03-15T20:00:00Z,5906.25,"Paid","Active",,"1e696b2d-37f8-4c75-ae62-d0f85cda27a7",,"/dashboard-debt-report/","/dashboard-payments/","/dashboard-all-schedules/","02111e32-055e-410d-abd4-a42aec078115",2026-02-16T09:09:22Z,2026-04-27T10:54:39Z,"01f011dc-8d52-4de4-9524-780ccef3313b",1,
"0d5fb996-1d33-40e4-a21c-63d0244f4b18","1be8b04d-25f7-4414-b2bb-b5b430fdfe98",,"Due for Payment",2024-12-09T20:00:00Z,2024-12-16T20:00:00Z,5000,"Paid","Active","<p>VAT unpaid by the client</p>","1e696b2d-37f8-4c75-ae62-d0f85cda27a7",,"/dashboard-debt-report/","/dashboard-payments/","/dashboard-all-schedules/","0291e3cb-bc1f-4a6f-b789-4b95633c5cdc",2024-12-10T12:41:32Z,2025-08-13T09:55:19Z,"01f011dc-8d52-4de4-9524-780ccef3313b",,
"18b7a26f-7f8a-456f-a7c6-d26aa1535fec","376859ae-1f04-4275-af20-c5f0f6bc9ce1",,"Month 4 - January 2026",2026-01-16T20:00:00Z,,18350,"Due","Active",,,,"/dashboard-debt-report/","/dashboard-payments/","/dashboard-all-schedules/","029a9c3f-0dcf-4aac-bcbf-cf1ca82d787c",2025-10-06T10:35:32Z,2026-01-19T06:04:34Z,"01f011dc-8d52-4de4-9524-780ccef3313b",,
"75be43f0-4a3a-44ed-8e43-cfe7fe4615c2","7d069fb6-f477-4e62-a0c0-9e7e92776373",,"Due every 14th of the month",2025-10-13T20:00:00Z,2025-10-13T20:00:00Z,5906.25,"Paid","Active",,"1e696b2d-37f8-4c75-ae62-d0f85cda27a7",,"/dashboard-debt-report/","/dashboard-payments/","/dashboard-all-schedules/","0321b1a9-c1b3-493c-b200-00e0edf81c79",2025-09-30T06:43:52Z,2025-10-14T09:39:59Z,"01f011dc-8d52-4de4-9524-780ccef3313b",1,
"56eac7e9-af94-47c0-b4b1-2a4101a9b0c1","e42d38a7-e338-4d6c-8dcc-d8f552c850c2",,"Due every 12th of the month",2026-03-12T20:00:00Z,2026-03-26T20:00:00Z,34527.5,"Paid","Active",,"1e696b2d-37f8-4c75-ae62-d0f85cda27a7",,"/dashboard-debt-report/","/dashboard-payments/","/dashboard-all-schedules/","034e5cfa-e159-48fe-becd-a6842f847db5",2026-03-02T06:39:29Z,2026-04-03T06:59:47Z,"01f011dc-8d52-4de4-9524-780ccef3313b",1,
"73469973-b85b-4f9d-9a21-11b1e5362527","f01c0a81-45df-4b38-9bbe-b5a3616edbbd","RX-24MM-085","Social Media Marketing Installment 12",2025-07-21T20:00:00Z,,7350,"Due","Cancelled",,,,"/dashboard-debt-report/","/dashboard-payments/","/dashboard-all-schedules/","03b866c9-d4b7-400f-846a-6418cfaf317d",2024-08-22T06:03:56Z,2025-08-06T04:53:14Z,"01f011dc-8d52-4de4-9524-780ccef3313b",,
"56eac7e9-af94-47c0-b4b1-2a4101a9b0c1","e0c8a695-e91b-43e2-b1cf-8b2127891e70",,"Prior Campaign Start Date",2025-06-02T20:00:00Z,,34650,"Due","Active",,,"<p> </p>","/dashboard-debt-report/","/dashboard-payments/","/dashboard-all-schedules/","0441a2a4-5136-44d1-9a53-eab3addf905d",2025-06-03T12:16:39Z,2025-08-06T04:53:14Z,"01f011dc-8d52-4de4-9524-780ccef3313b",1,
"73469973-b85b-4f9d-9a21-11b1e5362527","f01c0a81-45df-4b38-9bbe-b5a3616edbbd","RX-24MM-085","Social Media Marketing Installment 7",2025-02-21T20:00:00Z,,7350,"Due","Cancelled",,,,"/dashboard-debt-report/","/dashboard-payments/","/dashboard-all-schedules/","0450708a-f678-4985-9a19-a677869237ed",2024-08-22T06:03:56Z,2025-08-06T04:53:14Z,"01f011dc-8d52-4de4-9524-780ccef3313b",,
"56eac7e9-af94-47c0-b4b1-2a4101a9b0c1","690455c2-ad1f-4167-a494-535b8578f39c",,"Due for Payment",2025-05-04T20:00:00Z,2025-05-05T20:00:00Z,4000,"Paid","Active",,"1e696b2d-37f8-4c75-ae62-d0f85cda27a7",,"/dashboard-debt-report/","/dashboard-payments/","/dashboard-all-schedules/","04eeb38e-8f75-4133-821b-8d3a74a5c199",2025-05-05T08:58:42Z,2025-08-06T04:53:14Z,"01f011dc-8d52-4de4-9524-780ccef3313b",,
"f93f643b-5796-45aa-a79f-c8d0b609c130","d403438d-5b51-4406-9fff-9db0e707464d",,"50% Initial Payment",2024-10-16T20:00:00Z,2024-10-16T20:00:00Z,3500,"Paid","Active",,"1e696b2d-37f8-4c75-ae62-d0f85cda27a7",,"/dashboard-debt-report/","/dashboard-payments/","/dashboard-all-schedules/","054335c3-c6b6-4682-9e7e-d34fb7a9387f",2024-10-17T06:52:31Z,2025-08-06T04:53:14Z,"01f011dc-8d52-4de4-9524-780ccef3313b",,
"18b7a26f-7f8a-456f-a7c6-d26aa1535fec","376859ae-1f04-4275-af20-c5f0f6bc9ce1",,"Month 3 - December",2025-12-16T20:00:00Z,2026-01-07T20:00:00Z,18350,"Paid","Active","<p> </p>","1e696b2d-37f8-4c75-ae62-d0f85cda27a7",,"/dashboard-debt-report/","/dashboard-payments/","/dashboard-all-schedules/","05656f5e-6ad3-4b34-a747-2a1a455d16f4",2025-10-06T10:34:51Z,2026-01-13T10:28:01Z,"01f011dc-8d52-4de4-9524-780ccef3313b",0,
