report_section,record_type,invoice_number,client,date,total,row_id,reference,reason,csv_search_text
Invoices Without Project Match,Invoice,INV-REV23MM-096,ATEX International Exhibitions,2023-10-22,1500,00724084-8aab-4996-b404-d46c13291eae,,Multiple projects found for ATEX International Exhibitions; CSV does not identify which one,"INV-REV23MM-096, ATEX International Exhibitions"
Invoices Without Project Match,Invoice,INV-25MM-024,E L I T E Property Brokerage LLC,2025-03-21,35000,073b9e97-d76c-4256-98f1-53bfd1db23f9,,No matching project/company found from CSV search text or client name,"INV-25MM-024, E L I T E Property Brokerage LLC"
Invoices Without Project Match,Invoice,INV-26MM-165,Aesthetics GE,2026-04-27,7000,0aaaee04-ec4b-4eb9-ae3f-27ebcc361ea0,,No matching project/company found from CSV search text or client name,"INV-26MM-165, Aesthetics GE"
Invoices Without Project Match,Invoice,INV-REV23MM-037,111 Group,2023-03-06,100000,0c390535-3996-44be-94e4-c03b882cbdfc,40d2ce84-0ea5-480d-838a-5b02e2400760,Multiple projects found for 111 Group; CSV does not identify which one,"INV-REV23MM-037, 111 Group"
Invoices Without Project Match,Invoice,INV-26MM-178,Montalbano Dubai,2026-05-27,8400,10f115fa-6ae5-4e39-b80f-0f393a899bb1,,Multiple projects found for Montalbano Dubai; CSV does not identify which one,"INV-26MM-178, undefined, Montalbano Dubai"
Invoices Without Project Match,Invoice,INV-REV23MM-052,Just Bespoke,2023-05-14,18900,27974d7e-40cf-48a5-b3a6-09677b1eb984,1365d7c3-7012-4c15-831d-2cf128ed9637,Multiple projects found for Just Bespoke; CSV does not identify which one,"INV-REV23MM-052, Just Bespoke"
Invoices Without Project Match,Invoice,INV-25MM-032,E L I T E Property Brokerage LLC,2025-04-25,30450,2bbae55d-07b8-4131-a738-6ca9813ce178,,No matching project/company found from CSV search text or client name,"INV-25MM-032, E L I T E Property Brokerage LLC"
Invoices Without Project Match,Invoice,INV-25MM-079,The Espresso Lab,2026-02-05,61897.5,2f8684bf-708a-4eaf-a1e8-7c71a69b43d1,,Multiple projects found for The Espresso Lab; CSV does not identify which one,"INV-25MM-079, undefined, The Espresso Lab"
Invoices Without Project Match,Invoice,INV-REV23MM-066,LUXURY DROP PARFUM L.L.C,2023-07-02,2000,2f8b2c03-3149-4ec2-a4e4-b1e64278b596,8f51805b-43e2-4878-abd0-453a93529c36,Multiple projects found for LUXURY DROP PARFUM L.L.C; CSV does not identify which one,"INV-REV23MM-066, Luxury Oudh"
Invoices Without Project Match,Invoice,INV-24MM-117,LMN,2024-11-27,52000,4ca5158d-6b52-41fd-8d0f-470130d0d200,,No matching project/company found from CSV search text or client name,INV-24MM-117 - LMN Clothing FZ-LLC - Social Media Marketing & Web Development
Invoices Without Project Match,Invoice,INV-24MM-115,Rijas Group,2024-11-19,12600,523194a3-154f-4a15-a5e3-a2eca6474ec8,,No matching project/company found from CSV search text or client name,"INV-24MM-115, Rijas Group"
Invoices Without Project Match,Invoice,INV-24MM-049,Zenith Zones,2024-04-03,329700,60fa59e1-43fa-4ee9-8a64-f60438b430b6,,No matching project/company found from CSV search text or client name,"INV-24MM-049, Zenith Zones"
Invoices Without Project Match,Invoice,INV-REV23MM-047,Just Bespoke,2023-04-26,35000,62e7e98e-6f86-4ada-a464-7bf41e4e6950,4de58c02-16a4-4988-ab84-70f704f42637,Multiple projects found for Just Bespoke; CSV does not identify which one,"INV-REV23MM-047, Just Bespoke"
Invoices Without Project Match,Invoice,INV-24MM-010,Creative Sauce,2024-02-11,11613,675d704d-7c6c-4a1d-8eb4-f6fce21bc345,,Multiple projects found for Creative Sauce; CSV does not identify which one,"INV-24MM-010, Creative Sauce"
Invoices Without Project Match,Invoice,INV-25MM-116,Big Brain Training,2025-11-04,1050,74645202-84ef-432c-ba47-c68978547851,,No matching project/company found from CSV search text or client name,"INV-25MM-116, undefined, Big Brain Training"
Invoices Without Project Match,Invoice,INV-REV23MM-002,ayti,2023-02-23,11020,7a78327b-6898-43ff-91b3-d28b37274af0,4533d612-a771-447f-a5e8-08a89f2afa04,No matching project/company found from CSV search text or client name,"INV-REV23MM-02, Bayti"
Invoices Without Project Match,Invoice,INV-24MM-042,II Resources Network,2024-03-05,3360,8abdd507-3ecf-46df-bb46-ab972fa0b993,,Multiple projects found for II Resources Network; CSV does not identify which one,"INV-24MM-042, II Resources Network"
Invoices Without Project Match,Invoice,INV-26MM-150,World Health Expo,2026-02-02,5775,a29dd623-d78b-4228-a9ce-1ad5a3c07e2f,,No matching project/company found from CSV search text or client name,"INV-26MM-150, undefined, World Health Expo"
Invoices Without Project Match,Invoice,INV-25MM-116,Big Brain Training,2025-11-04,0,af895528-913e-487c-a5ba-9ff7b7a02fc2,,No matching project/company found from CSV search text or client name,"INV-25MM-116, undefined, Big Brain Training"
Invoices Without Project Match,Invoice,INV-25MM-133,Mamalu Kitchen,2025-12-09,0,c4053c0a-0600-45b6-a3f4-ee88245cf8ef,,Multiple projects found for Mamalu Kitchen; CSV does not identify which one,"INV-25MM-133, undefined, Mamalu Kitchen"
Invoices Without Project Match,Invoice,INV-25MM-036,E L I T E Property Brokerage LLC,2025-05-15,1155,c872c9c8-3873-4bb4-a61e-8c0629ef9f83,,No matching project/company found from CSV search text or client name,"INV-25MM-036, E L I T E Property Brokerage LLC"
Invoices Without Project Match,Invoice,INV-26MM-174,Montalbano Dubai,2026-04-23,8400,eeb9e90f-9efa-403e-9c6a-32c8bf6b280d,,Multiple projects found for Montalbano Dubai; CSV does not identify which one,"INV-26MM-174, Montalbano Dubai"
Invoices Without Project Match,Invoice,INV-24MM-085,Thomas,2024-08-21,109725,f01c0a81-45df-4b38-9bbe-b5a3616edbbd,,No matching project/company found from CSV search text or client name,"INV-24MM-085, Website Development, Thomas"
Needs Review Rows,Item,,,,,0031b138-5f93-4dc2-b604-063aa2a0ce8c,e9eba498-c1a3-48bb-9389-8cdecf5a379e,Parent invoice e9eba498-c1a3-48bb-9389-8cdecf5a379e is not in the invoices CSV,
Needs Review Rows,Item,,,,,12490c1a-5ef8-469d-ac30-9e8f1b7e6a64,5ae46c66-972a-4f87-99e0-aaf37fafc6b5,Parent invoice 5ae46c66-972a-4f87-99e0-aaf37fafc6b5 is not in the invoices CSV,
Needs Review Rows,Item,,,,,16d6e357-09a5-47ed-95d2-2bcbe7924fdc,1c15de4e-a4e2-418f-937b-b6bd37bbbcbc,Parent invoice 1c15de4e-a4e2-418f-937b-b6bd37bbbcbc is not in the invoices CSV,
Needs Review Rows,Item,,,,,1ff01b3b-aa45-4b26-b19f-91ec70d52ac3,c883fffc-90dd-4de7-bc64-dbb39294edd0,Parent invoice c883fffc-90dd-4de7-bc64-dbb39294edd0 is not in the invoices CSV,
Needs Review Rows,Item,,,,,20d1a772-fc20-43e5-8fa0-083412eb8eff,0f387d2d-4188-4f03-869f-48b490b40122,Parent invoice 0f387d2d-4188-4f03-869f-48b490b40122 is not in the invoices CSV,
Needs Review Rows,Item,,,,,2fd0c807-fa62-4e6b-9705-412647597dfd,c883fffc-90dd-4de7-bc64-dbb39294edd0,Parent invoice c883fffc-90dd-4de7-bc64-dbb39294edd0 is not in the invoices CSV,
Needs Review Rows,Item,,,,,43093c08-510e-4603-8a6c-831097150254,bf036b9a-7b34-4da6-9ecd-27e1aa53a559,Parent invoice bf036b9a-7b34-4da6-9ecd-27e1aa53a559 is not in the invoices CSV,
Needs Review Rows,Item,,,,,441ba49a-5cd6-4c64-8526-58751f8de68d,0a72716b-e0e9-4b17-aa72-e982fe799dbc,Parent invoice 0a72716b-e0e9-4b17-aa72-e982fe799dbc is not in the invoices CSV,
Needs Review Rows,Item,,,,,83d258e0-b850-4c53-a2fd-eec47fa9d444,1c15de4e-a4e2-418f-937b-b6bd37bbbcbc,Parent invoice 1c15de4e-a4e2-418f-937b-b6bd37bbbcbc is not in the invoices CSV,
Needs Review Rows,Item,,,,,900313a7-8821-41bf-932a-f9ca786516a0,1c15de4e-a4e2-418f-937b-b6bd37bbbcbc,Parent invoice 1c15de4e-a4e2-418f-937b-b6bd37bbbcbc is not in the invoices CSV,
Needs Review Rows,Item,,,,,9208e6d6-2636-4020-961a-b8b0024e6dea,e9eba498-c1a3-48bb-9389-8cdecf5a379e,Parent invoice e9eba498-c1a3-48bb-9389-8cdecf5a379e is not in the invoices CSV,
Needs Review Rows,Item,,,,,a24546db-82a7-47e8-baa9-3cc6561ca2cd,db481c68-b3cd-4bd5-ac93-b448c79df504,Parent invoice db481c68-b3cd-4bd5-ac93-b448c79df504 is not in the invoices CSV,
Needs Review Rows,Item,,,,,c84b8e3e-a708-4022-b3d6-3c27d280e918,c883fffc-90dd-4de7-bc64-dbb39294edd0,Parent invoice c883fffc-90dd-4de7-bc64-dbb39294edd0 is not in the invoices CSV,
