"ID","Created Date","Updated Date","Owner","month","value"
"28ed0e2f-dc61-458e-88bd-52b58b6d7fb9",2025-08-03T06:59:49Z,2025-08-03T07:00:25Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","April",3
"3da62c0d-0534-4f3b-8179-5a76f23b9e23",2025-08-03T07:00:08Z,2025-08-03T07:00:34Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","October",9
"5cb929f6-7a16-4b88-8ce8-528b8a493085",2025-08-03T07:00:12Z,2025-08-03T07:00:36Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","November",10
"768bd8ff-ac1b-41c8-8a4b-a7f9fef4ee81",2025-08-03T06:59:36Z,2025-08-03T07:14:53Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","January",0
"93e5b556-e094-47df-9598-534aeaea4fe2",2025-08-03T06:59:56Z,2025-08-03T07:00:28Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","June",5
"a25203da-c3ee-445e-aaa1-137b9fd626c5",2025-08-03T07:00:15Z,2025-08-03T07:00:39Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","December",11
"cb69ac26-eb3a-4054-bf21-183ae6e3c7bf",2025-08-03T06:59:46Z,2025-08-03T07:00:23Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","March",2
"e298b67a-918d-47b6-b2cf-03a4d476991a",2025-08-03T07:00:05Z,2025-08-03T07:00:33Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","September",8
"e2ce0f56-b314-4249-a2b9-08df69a978e7",2025-08-03T06:59:42Z,2025-08-03T07:00:20Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","February",1
"f13078aa-ba0f-4a50-8539-f634f2bb1f4f",2025-08-03T07:00:02Z,2025-08-03T07:00:31Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","August",7
"f4b83e23-cceb-416e-8ebb-e2810a37d2b8",2025-08-03T06:59:59Z,2025-08-03T07:00:29Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","July",6
"fdb18a81-17fa-444f-bcc8-6f5c7cd7333d",2025-08-03T06:59:54Z,2025-08-03T07:00:26Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","May",4
