"ID","Created Date","Updated Date","Owner","project","company","date","caption","subject","platforms","media","format","status","user","location","assetLink","notes","type","time","shootHours","shootDate","shootTime","shootNotes","shootStatus","firstComment"
"0023fe4f-fc4f-42b3-8fb1-a72a9d028265",2025-11-18T16:49:08Z,2025-11-20T10:22:09Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","5dd8d88e-58bc-4e12-9cfb-55a3306b21cd","56eac7e9-af94-47c0-b4b1-2a4101a9b0c1",2025-11-19T20:00:00Z,"<p>The UAE property market is finishing 2025 strong, with robust transaction volumes and price resilience. </p><p> </p><p>In October alone, Dubai recorded AED 46.26 billion across 18,232 deals. Off‑plan sales continue to dominate, accounting for over 71 % of activity. And while ready‑unit prices average about AED 1,715 per sq ft, off‑plan apartments are commanding about AED 2,024 per sq ft. This isn’t a fleeting bubble, the data point to sustained strength, not speculative spikes.</p><p> </p><p>Sources: Khaleej Times<br/> <br/> #UAEProperty #DubaiRealEstate #MarketUpdate #2025Trends #OffPlanSales</p>","Market Insight: UAE property market closing 2025 on a high note","[""73d19a4c-7876-47f8-81a5-d29b5d2cc5c3"",""7dac2b2f-9a9a-4c9a-b987-5b248f5a6aea"",""f6c2f16a-8e39-40d1-ac3b-36ca7de2b91e"",""962e2d92-ea8d-4066-8430-2f892bdc8142"",""25387b99-cf69-454c-930c-85bbd25edd55""]","wix:image://v1/01f011_41ca18adef634b5e83928ee660da63fa~mv2.jpg/1.jpg#originWidth=540&originHeight=675","Static Image","Posted","ab1f4afb-e1e0-4001-9fab-fd64a8bd5b5c","Dubai, United Arab Emirates",,"<p>IG Story - link to LinkedIn</p><p>All others Post</p>","Organic","13:30:00.000",0,,,,,"What do you think is driving the strong finish to 2025 in the UAE property market – investor demand, lifestyle migration or something else?"
"005c1bb1-5a76-4e0d-8068-25427a7edc8f",2025-02-03T08:25:10Z,2025-08-25T18:01:47Z,"01f011dc-8d52-4de4-9524-780ccef3313b","5dd8d88e-58bc-4e12-9cfb-55a3306b21cd","56eac7e9-af94-47c0-b4b1-2a4101a9b0c1",2025-03-04T20:00:00Z,"<p>🌊 Welcome to Jumeirah Asora Bay — where luxury meets the shore of La Mer, Jumeirah. 🏖️✨</p><p> </p><p>Developed by Meraas Holding, this brand-new waterfront masterpiece offers breathtaking sea views, world-class amenities, and a lifestyle that perfectly blends urban convenience with natural beauty.</p><p> </p><p>💎 Amenities:<br/>✔️ Private beach access<br/>✔️ Infinity pools<br/>✔️ Fitness &amp; wellness center<br/>✔️ Kids’ play areas &amp; cinema rooms<br/>✔️ 24/7 concierge &amp; private chefs</p><p> </p><p>🏡 Unit Options:<br/>4 &amp; 5-Bedroom Apartments<br/>6 &amp; 7-Bedroom Penthouses (with private pools)</p><p> </p><p>🎯 Handover: December 2026</p><p><br/>💰 Starting from AED 45M</p><p> </p><p>This is Dubai&#x27;s coastal luxury at its finest — a limited opportunity to own in one of the city&#x27;s most prestigious locations.</p><p> </p><p>📩 DM us for details or to book your private tour!</p><p> </p><p>#ElitePropertyDXB #JumeirahAsoraBay #LuxuryLiving #DubaiRealEstate #LaMerDubai #Meraas #WaterfrontHomes #DubaiLuxury #PropertyInvestment</p>","Property Launch - JUMEIRAH ASORA BAY","[""73d19a4c-7876-47f8-81a5-d29b5d2cc5c3"",""7dac2b2f-9a9a-4c9a-b987-5b248f5a6aea"",""f6c2f16a-8e39-40d1-ac3b-36ca7de2b91e""]","wix:image://v1/01f011_9b35b260cd2740f19965ce9099c71aab~mv2.png/Screenshot%202025-02-28%20143228.png#originWidth=401&originHeight=501","Carousel","Posted","5c084634-6869-4e43-a13e-fbede7b594d4","Dubai, United Arab Emirates","https://www.dropbox.com/scl/fo/14l4desacqwx3q1npatai/ANIZa7aOrMq6yuBuQI_YP48?rlkey=uy17ggsethnstczoiucju7nyy&st=23v8yawz&dl=0",,"Organic","17:00:00.000",0,,,,,
"00cde694-bc3a-490d-b05d-f3cc434025f2",2025-11-11T07:35:54Z,2025-12-26T12:49:36Z,"01f011dc-8d52-4de4-9524-780ccef3313b","90f5bb8e-1da9-441f-b63b-1941b663318b","cc1e8c94-1f3d-4942-ba0a-3f5041a105cc",2025-12-04T20:00:00Z,"<p>Resort living, reimagined for the senses. ✨</p><p> </p><p>Step into Aura Gardens and discover a sanctuary of serene landscaping and meticulously designed architecture. This 3-bedroom townhouse is your gateway to a life of connection and tranquillity, surrounded by lush greenery, lagoon parks, and vibrant community spaces.</p><p> </p><p>📍 Aura Gardens, Tilal Al Ghaf<br/>🏠 3 Bedrooms + Maid&#x27;s | 3 Bathrooms<br/>📐 BUA: 2,174 sq. ft</p><p> </p><p>Comment &#x27;DIANA&#x27; to arrange a private viewing.</p><p> </p><p>#CryptoHomesDXB #DubaiRealEstate #LuxuryLiving #TilalAlGhaf #AuraGardens #CommunityLiving #Sanctuary #FamilyHome #CryptoProperty #BlockchainRealEstate</p>","Property Tour: Diana","[""73d19a4c-7876-47f8-81a5-d29b5d2cc5c3"",""7dac2b2f-9a9a-4c9a-b987-5b248f5a6aea"",""f6c2f16a-8e39-40d1-ac3b-36ca7de2b91e"",""962e2d92-ea8d-4066-8430-2f892bdc8142"",""25387b99-cf69-454c-930c-85bbd25edd55"",""190b927d-fd7c-4f73-aa6b-e6d9ebe765cd""]","wix:image://v1/01f011_9ade8a05afe443029f8130d3a64bc52a~mv2.jpg/Dec%205%20-%20Cover.jpg#originWidth=400&originHeight=711","Reel","Posted","94873ed1-9c45-497a-8260-be4ca80c41d6","Aura Gardens, Tilal Al Ghaf",,"<p>Text on cover:</p><p>RESORT LIVING AT AURA GARDENS, </p><p>TILAL AL GHAF</p><p> </p>","Boosted","16:30:00.000",1,2025-11-03T20:00:00Z,"17:00:00.000","<p><span style=""font-weight:bold"">NOTE: </span></p><p>We weren’t able to record a separate CTA for Crypto because the property was already sold just one week after we shot this, and it was only then that Diana mentioned it could be purchased through Crypto. However, Diana agreed to still share it on social media.</p><p> </p><p>So after the line “behind me” please add the following text:</p><p> Aura Gardens, Tilal Al Ghaf<br/>Comment “CRYPTO” for more details.</p><p> </p><p>Script: (VO)</p><p>They say a home is a reflection of you.</p><p>I didn’t really believe it at first… but now I do.</p><p>From the colors I choose to the little corners I leave untouched, every detail tells my story.</p><p>I’ve realized… a home isn’t just a place to live, it’s a mirror of how I feel, how I move through the world, and how I want to feel when I close the door behind me.</p><p> </p><p>Visuals: Diana walking through the property.</p>","Completed",
"00f2fd08-0662-4920-992a-bbdfb5aa2c0b",2025-10-26T08:30:43Z,2025-11-13T10:34:10Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","90f5bb8e-1da9-441f-b63b-1941b663318b","cc1e8c94-1f3d-4942-ba0a-3f5041a105cc",2025-11-12T20:00:00Z,"<p>Turn crypto volatility into property stability.  💸 </p><p> </p><p>Stablecoins processed $8.5T in transactions in 2024, overtaking Visa’s global volume. It is transforming how investors buy real estate, pegged to fiat, verified on blockchain, and trusted worldwide.  </p><p> </p><p>📌 Save this post to stay updated on the rise of stablecoin-backed property investments.  </p><p> </p><p>#CryptoHomesDXB #DubaiInvestments #Stablecoin #CryptoProperty #BlockchainDubai #Tokenisation</p>","Crypto Real Estate Facts","[""73d19a4c-7876-47f8-81a5-d29b5d2cc5c3"",""7dac2b2f-9a9a-4c9a-b987-5b248f5a6aea"",""f6c2f16a-8e39-40d1-ac3b-36ca7de2b91e"",""962e2d92-ea8d-4066-8430-2f892bdc8142"",""25387b99-cf69-454c-930c-85bbd25edd55""]","wix:image://v1/01f011_ff5949fba1e4461aa913bbf139d6f13b~mv2.jpg/Crypto-Static%20image.jpg#originWidth=1080&originHeight=1350","Static Image","Posted","94873ed1-9c45-497a-8260-be4ca80c41d6","Dubai, UAE","https://www.dropbox.com/scl/fi/d62ge7nmm7a6m853qfum8/Crypto-Static-image.jpg?rlkey=504k88bgn04qgq9q6l97aayy9&st=8b3jhxw8&dl=0","<p>Headline: How stablecoins like USDT &amp; USDC are reshaping Dubai real estate</p><p><br/>Traditional crypto = fluctuations <br/>Stablecoins = confidence in every transaction </p><p><br/>🕒 90% faster cross-border settlements<br/>💸 50% lower transfer costs<br/>🌐 40+ countries already using stablecoins for real estate</p><p><br/><span style=""font-style:italic"">(Source: Coinspaid Media, 2025)</span></p>","Organic","14:30:00.000",0,,,,,"Would you trade crypto volatility for real estate stability?"
"00fcaab3-13ec-4834-b101-4ab8fe1cd37d",2025-09-02T17:15:13Z,2025-09-28T07:07:52Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","90f5bb8e-1da9-441f-b63b-1941b663318b","cc1e8c94-1f3d-4942-ba0a-3f5041a105cc",2025-09-26T20:00:00Z,"<p>Think you know crypto real estate? 🏠💸 Let’s test it.</p><p><br/>Here are 5 myths and facts every investor in Dubai should know before making their next move.</p><p> </p><p>📌 Save this quiz for later, the answers might surprise you.</p><p> </p><p><span style=""font-weight:bold"">#Cryptoohomesdxb</span> <span style=""font-weight:bold"">#Mythorfact</span></p>","Myth or Fact Quiz","[""73d19a4c-7876-47f8-81a5-d29b5d2cc5c3"",""7dac2b2f-9a9a-4c9a-b987-5b248f5a6aea"",""f6c2f16a-8e39-40d1-ac3b-36ca7de2b91e"",""962e2d92-ea8d-4066-8430-2f892bdc8142"",""25387b99-cf69-454c-930c-85bbd25edd55""]","wix:image://v1/01f011_ea709c210a7e4eec8834494e5fc9052f~mv2.jpg/sadhjksdahjksda.jpg#originWidth=400&originHeight=711","Reel","Posted","5c084634-6869-4e43-a13e-fbede7b594d4","Dubai, UAE",,,"Boosted","13:00:00.000",0,,,,,"How many questions did you get right? Tell us below."
"011710a0-a92e-40bb-8bb6-1f3ab7fe82c6",2025-06-23T10:11:54Z,2025-08-25T18:01:47Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","1b2f16d7-192d-4d10-88a5-0fb18eb4967a","f9c4b9cf-50cd-44a2-ba40-f853a021b41f",2025-08-11T20:00:00Z,"<p>From concept to execution, our team brings deep expertise in planning, logistics, branding, and audience engagement to ensure your event is impactful, professional, and seamlessly delivered.</p><p> </p><p>Learn more at www.atexinternational.com/about</p><p> </p><p>#ATEXInternational #Events #EventExperts</p>","What We Do - Managed Events","[""73d19a4c-7876-47f8-81a5-d29b5d2cc5c3"",""7dac2b2f-9a9a-4c9a-b987-5b248f5a6aea"",""f6c2f16a-8e39-40d1-ac3b-36ca7de2b91e"",""25387b99-cf69-454c-930c-85bbd25edd55""]","wix:image://v1/01f011_98764a7712db401eb02722ed8d869ea1~mv2.png/ATEX_Post-Aug12.png#originWidth=1080&originHeight=1350","Static Image","Posted","5c084634-6869-4e43-a13e-fbede7b594d4","Dubai, UAE","https://www.dropbox.com/scl/fo/oqyrd2qvumw03ssbfdugd/APTvMdFS6JMngnuzwMLLBzc?rlkey=udyxccfe0hcbp65eadlwj2gsf&st=obdgw0yj&dl=0","<p class=""font_8"">Title:</p>
<p class=""font_8""><br></p>
<p class=""font_8"">Managed Events:</p>
<p class=""font_8"">Delivered with Precision, Powered by Experience</p>","Organic","18:30:00.000",0,,,,,
"012ac579-f7c1-4d7b-ba81-7496af0fad3f",2025-08-16T12:04:04Z,2025-08-25T18:01:47Z,"01f011dc-8d52-4de4-9524-780ccef3313b","f889f811-6e7f-489d-a7de-dee3fc249d28","426d8f37-fc41-444b-ab15-e9fc7bbb0933",2025-07-24T20:00:00Z,"<p>Who said we can&#x27;t have a little fun at work? 😏<br/><br/>Just another day at Mutant, where creativity meets chaos.<br/><br/><span style=""text-decoration:underline""><a href=https://www.instagram.com/explore/tags/mutantae/ target=undefined>#MutantAE</a></span> <span style=""text-decoration:underline""><a href=https://www.instagram.com/explore/tags/workhardprankhard/ target=undefined>#WorkHardPrankHard</a></span> <span style=""text-decoration:underline""><a href=https://www.instagram.com/explore/tags/agencylife/ target=undefined>#AgencyLife</a></span> <span style=""text-decoration:underline""><a href=https://www.instagram.com/explore/tags/bts/ target=undefined>#BTS</a></span> <span style=""text-decoration:underline""><a href=https://www.instagram.com/explore/tags/officevibes/ target=undefined>#officevibes</a></span></p>","Trends: Saying random updates","[""73d19a4c-7876-47f8-81a5-d29b5d2cc5c3"",""7dac2b2f-9a9a-4c9a-b987-5b248f5a6aea"",""f6c2f16a-8e39-40d1-ac3b-36ca7de2b91e"",""962e2d92-ea8d-4066-8430-2f892bdc8142"",""25387b99-cf69-454c-930c-85bbd25edd55"",""190b927d-fd7c-4f73-aa6b-e6d9ebe765cd""]","wix:image://v1/01f011_ce583a0ee03b4937bdf5bc039f0cf3e1~mv2.jpg/SaveVid.Net_523470785_18279303646287774_1883475842695004048_n.jpg#originWidth=500&originHeight=888","Reel","Posted","5c084634-6869-4e43-a13e-fbede7b594d4","Dubai, United Arab Emirates",,,"Boosted","13:00:00.000",0,,,,,
"012f4f9c-5320-4c93-833b-47e2453b97f0",2024-10-31T08:24:37Z,2025-08-25T18:01:47Z,"01f011dc-8d52-4de4-9524-780ccef3313b","47d93cff-6005-493a-9f0c-578cfaf57506","f93f643b-5796-45aa-a79f-c8d0b609c130",2024-11-03T20:00:00Z,"<p>Calling all FX educators! FX Unlocked is here to help you monetize your knowledge, grow your following, and deliver top-notch content. Ready to level up? Stay tuned for more!</p>","Coming Soon","[""73d19a4c-7876-47f8-81a5-d29b5d2cc5c3"",""7dac2b2f-9a9a-4c9a-b987-5b248f5a6aea"",""f6c2f16a-8e39-40d1-ac3b-36ca7de2b91e""]","wix:image://v1/01f011_89095a36a66941d38cd165d3f94beff3~mv2.png/FX%20Coming%20Soon%20Post.png#originWidth=1080&originHeight=1080","Static Image","Posted","25267011-739a-42be-a60f-7c08b40f74a0","Dubai, UAE","https://www.dropbox.com/scl/fi/eaxszzss4raxcp19gvaok/Nov.-4.png?rlkey=xuwuhk69e9quu20pspz9h597r&st=jup0hghh&dl=0",,"Organic","10:00:00.000",0,,,,,
"0132641d-4011-4cbb-8523-fe4fcbf5d903",2025-08-26T09:49:00Z,2025-09-23T11:32:44Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","90f5bb8e-1da9-441f-b63b-1941b663318b","cc1e8c94-1f3d-4942-ba0a-3f5041a105cc",2025-09-21T20:00:00Z,"<p class=""font_8"">N/A</p>","Engagement Story: Quiz","[""73d19a4c-7876-47f8-81a5-d29b5d2cc5c3"",""7dac2b2f-9a9a-4c9a-b987-5b248f5a6aea"",""962e2d92-ea8d-4066-8430-2f892bdc8142""]","wix:image://v1/01f011_eefdda7f43a9468e8e3f944f0c7da7b3~mv2.png/ELITE_Story-Sep23-Slide1.png#originWidth=1080&originHeight=1920","Story","Posted","ab1f4afb-e1e0-4001-9fab-fd64a8bd5b5c","Dubai, UAE","https://www.dropbox.com/scl/fo/p3y4lnn09lnapb24f45d8/AAq5zaHhAUfJeSVRLRrxjVs?rlkey=hr6s1hrm2qpc3nvnps1vvbg97&st=uw3jys6a&dl=0","<p><span style=""font-weight:bold"">Quiz: Crypto Facts in Real Estate</span></p><ul><li>Slide 1: “Which country made its <span style=""font-style:italic"">first luxury home</span> sale in Bitcoin?”</li><li>Options: <span style=""font-weight:bold"">Dubai 🇦🇪 / USA 🇺🇸 / Portugal 🇵🇹 / UK 🇬🇧</span></li><li>Answer reveal on next slide.</li></ul>","Organic","15:30:00.000",0,,,,,
"01a29ec7-1a01-40ba-9d80-c1937a2620c2",2025-10-08T07:55:53Z,2025-10-08T12:45:46Z,"01f011dc-8d52-4de4-9524-780ccef3313b","1212678d-037b-475a-b187-a27821e2d3c8","e5a8f142-b45d-4375-973d-f0cc776663e1",2025-10-07T20:00:00Z,"Caption & Hashtag","Engagement Story: EDUCATIONAL (Booking Hacks)","[""73d19a4c-7876-47f8-81a5-d29b5d2cc5c3"",""7dac2b2f-9a9a-4c9a-b987-5b248f5a6aea"",""962e2d92-ea8d-4066-8430-2f892bdc8142""]","wix:image://v1/01f011_818261d9f58b40ed807bbfba35423d2e~mv2.png/Airstay_Story-BOOK%20(3).png#originWidth=1080&originHeight=1920","Story","Posted","ab1f4afb-e1e0-4001-9fab-fd64a8bd5b5c","Dubai, UAE","https://www.dropbox.com/scl/fo/5mqg4dycbois1bor0f11k/AMYNQNcsz_uvpNCai8rrkag?rlkey=54edet6h7o2ewljcv0jq0y11x&st=e5bki7v1&dl=0","<p><span style=""font-weight:bold"">Informative Tip (Booking Hacks) | 8</span>th OCT</p><p>Slide 1: Carousel-style tip list (1 slide only with 3 icons)</p><p>· 🔑Check licensing</p><p>· 🛋Inspect amenities</p><p>· 📍Location accessibility</p><p> </p><p><span style=""font-weight:bold"">Caption:</span> 3 things to check before booking your holiday home staycation.</p>","Organic","14:30:00.000",0,,,,,
