"Title","ID","Created Date","Updated Date","Owner","project","platform","month","year","amount","notes","addedToBoost","Company"
,"00c1c945-c348-4372-a836-4a43fe325249",2025-11-24T07:14:40Z,2025-11-24T07:14:44Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","5dd8d88e-58bc-4e12-9cfb-55a3306b21cd","Many Chat","10","2025",55,,,"Elite Property DXB"
,"0741b9bc-567e-4bb6-843c-118975e3c1fd",2025-09-20T12:14:25Z,2026-01-22T13:41:31Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","1212678d-037b-475a-b187-a27821e2d3c8","Media Mister","8","2025",84.64,,true,"Airstay Holiday Homes"
,"07ad696f-f42a-476e-92a2-3a0c3a9a12d5",2025-11-24T07:14:33Z,2025-11-24T07:14:38Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","5dd8d88e-58bc-4e12-9cfb-55a3306b21cd","Many Chat","9","2025",55,,,"Elite Property DXB"
,"0b6dd347-9383-4aa2-9521-36286da24965",2025-11-24T07:16:42Z,2025-11-24T07:16:45Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","be5a7ff1-e84f-43fb-b6de-579ec9c8315d","Many Chat","10","2025",55,,,"Code Libya"
,"0cd05b28-4a82-4fd2-9078-a0cf87408358",2025-08-16T12:30:12Z,2025-08-25T18:46:31Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","e423744b-213d-42a0-9c8b-bdb05a3187aa","Path Social","7","2025",253.92,"Used by Elite Property",,
,"0cf0e644-5df8-4894-aed4-9ec844943600",2026-01-22T13:40:50Z,2026-01-22T13:41:43Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","fe578398-ead8-4e5c-902c-1ba9d28746b3","Many Chat","0","2026",55,,,"Canterra Properties"
,"0eeb31d7-51bb-433f-b53b-306c72a83a99",2025-11-24T07:16:21Z,2025-11-24T07:16:23Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","e423744b-213d-42a0-9c8b-bdb05a3187aa","Many Chat","10","2025",55,,,"Libya Build"
,"0f1c3af9-79fb-48ed-a647-2637d04a7976",2025-08-16T11:49:34Z,2025-08-25T18:46:31Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","cf43c9d2-0680-46a6-bfb1-614177099a56","Many Chat","7","2025",55,,,
,"0f405331-3102-4582-b53c-b128fbd84102",2025-08-16T12:07:02Z,2025-08-25T18:46:31Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","5dd8d88e-58bc-4e12-9cfb-55a3306b21cd","Many Chat","7","2025",55,,,
,"116c3e35-9c2d-426c-8d29-2f5d8624acdb",2026-02-22T07:56:50Z,2026-02-22T07:56:52Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","90f5bb8e-1da9-441f-b63b-1941b663318b","Many Chat","1","2026",55,,,"Crypto Homes"
,"138c03b2-03f9-4fc9-a749-bd7ddaae2054",2026-02-17T08:48:37Z,2026-02-17T08:48:40Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","e423744b-213d-42a0-9c8b-bdb05a3187aa","Media Mister","11","2025",2500,,,"Libya Build"
,"15078478-d393-446a-acd4-dab234ecb2b3",2026-02-17T08:46:06Z,2026-02-17T08:46:09Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","e423744b-213d-42a0-9c8b-bdb05a3187aa","Media Mister","9","2025",2500,,,"Libya Build"
