"ID","Created Date","Updated Date","Owner","activity","project","user","startDate","status","notes","projectStatus","dueDate","type"
"0023814e-77f5-4a25-83ac-89e5422c25ec",2024-05-19T10:00:28Z,2025-08-12T04:52:35Z,"01f011dc-8d52-4de4-9524-780ccef3313b","KB25 - Post Show Report Contents","8ea061bc-1fae-4555-917c-5bbb8d19e465","9f3c0fa1-d627-46e1-af60-4cb88b4e682c",2024-06-23T20:00:00Z,"Completed",,"Completed",2024-06-27T20:00:00Z,
"0101f4e3-14a8-4168-b0c2-f5335295246b",2025-08-24T12:35:18Z,2026-01-25T08:59:42Z,"01f011dc-8d52-4de4-9524-780ccef3313b","UI/UX","c21bccf1-e20a-49f6-addb-b2b61519a415","7f710291-8033-444e-99e9-424cc4da2bc0",2025-08-24T20:00:00Z,"Completed",,"In Progress",2025-11-13T20:00:00Z,
"013645f5-a4bb-4d4e-a5c0-d610c8216ad6",2024-10-07T13:55:52Z,2025-08-11T18:40:25Z,"01f011dc-8d52-4de4-9524-780ccef3313b","[Backend] - Analysis of UI for Patients List and Consultations","95f56020-38f5-4243-9485-5b776381ae67","c47735f6-ddff-4dd1-8e6a-fb9059f689a0",2024-10-03T16:00:00Z,"Completed","<p> </p>","In Progress",2024-10-06T16:00:00Z,
"01a23487-1eae-4164-9c66-5ed2c5480933",2023-11-27T19:24:02Z,2025-08-11T18:40:25Z,"e168cbe8-c8cb-4ec3-b920-be764ec09acc","SM Assets","7544f45a-70ac-4d7f-af67-483ff8f2fe7d","ccd8178e-6954-4b63-9ea3-6f8c601b9580",2023-10-31T20:00:00Z,"Completed",,"Completed",2024-05-30T20:00:00Z,
"01c1cc15-d1f4-48b4-83d7-0d97c60f59a2",2025-12-07T13:57:08Z,2025-12-07T13:57:08Z,"01f011dc-8d52-4de4-9524-780ccef3313b","Front End",,"e29bb22d-c98b-402b-9b81-1551aa2adb26",2025-12-07T20:00:00Z,"Not Started",,"In Progress",2025-12-28T20:00:00Z,
"01ce3948-daba-4b6a-92f0-448fae4f6e26",2022-12-19T13:25:00Z,2025-08-11T18:40:25Z,"e168cbe8-c8cb-4ec3-b920-be764ec09acc","Card Game Engine","ca690e49-bb32-44c0-9ede-6dca828039a7","77c8d6d6-afd6-42d7-ac13-78bdda0d9926",2022-12-19T20:00:00Z,"Completed",,"Completed",2022-12-19T20:00:00Z,
"023a35a9-b444-41b4-b625-714d4d427bcc",2025-07-22T05:57:19Z,2025-08-12T04:48:48Z,"01f011dc-8d52-4de4-9524-780ccef3313b","Activation Prospects","cf43c9d2-0680-46a6-bfb1-614177099a56","5c084634-6869-4e43-a13e-fbede7b594d4",2025-07-21T20:00:00Z,"In Progress",,"In Progress",2026-03-30T20:00:00Z,
"0246dd46-328f-42ff-98dc-3608fcb31d9c",2023-08-07T07:33:51Z,2025-08-11T18:40:25Z,"e168cbe8-c8cb-4ec3-b920-be764ec09acc","Visa Requirement API","2a098ec9-6f7e-49b1-a596-0a580fcd9c31","77c8d6d6-afd6-42d7-ac13-78bdda0d9926",2023-07-30T20:00:00Z,"Completed",,"Completed",2023-07-30T20:00:00Z,
"0256715f-b7ec-4112-8af5-aebc834c8825",2022-11-16T13:09:50Z,2025-08-11T18:40:25Z,"e168cbe8-c8cb-4ec3-b920-be764ec09acc","Domain Connection","2a098ec9-6f7e-49b1-a596-0a580fcd9c31","a3efb115-821a-43d3-94ad-afc4382a24df",2023-02-19T20:00:00Z,"Completed",,"Completed",2023-02-19T20:00:00Z,
"0271c63a-de5f-489b-ae98-6a967f678e8c",2025-11-15T11:13:14Z,2025-11-19T07:21:11Z,"01f011dc-8d52-4de4-9524-780ccef3313b","Marketing Checklist","ee7a662b-041f-4ebf-ab4f-a997775c4b75","b916db3b-6f70-4c5d-90c2-18e74e31805e",2025-11-30T20:00:00Z,"Not Started",,"In Progress",2025-12-03T20:00:00Z,
