"ID","Created Date","Updated Date","Owner","project","slug","team","projectLead","completionDate","status","projectType","Project Details - Admin","company","brief","contact","Project Details - Client","lead","confirmation","productionBudget","documentation","projectCompletionForm","docSigned","projSigned","Project Calendar - Admin","statsSheet","link-projects-project","Project Calendar - Client"
"01e30bca-5f53-45e2-ae69-dfff943e1ba2",2024-04-29T11:37:50Z,2025-12-05T16:23:24Z,"01f011dc-8d52-4de4-9524-780ccef3313b","Bold & Beyond Coaching - Web Development","655528","[""5c084634-6869-4e43-a13e-fbede7b594d4"",""a3efb115-821a-43d3-94ad-afc4382a24df"",""ccd8178e-6954-4b63-9ea3-6f8c601b9580"",""c0215e98-e7a9-4f3b-9af7-33d644f289fa""]",,2024-10-30T20:00:00Z,"Completed","ece86a13-c171-41db-a0f2-537ffdfca451","/dashboard-project/655528","0d5fb996-1d33-40e4-a21c-63d0244f4b18",,"353350f0-9fa0-4d37-ad9b-54ebfc7d77ea","/project/655528","5c084634-6869-4e43-a13e-fbede7b594d4",true,0,,,,,"/dashboard-calendar/655528",,"655528","/calendar/655528"
"05630ece-5dcf-4592-9b82-ac2c5437b13d",2024-10-15T06:56:19Z,2025-12-05T16:23:24Z,"01f011dc-8d52-4de4-9524-780ccef3313b","FX Unlocked - Web Development","527792","[""e29bb22d-c98b-402b-9b81-1551aa2adb26"",""5d29f4a7-4e82-4141-9bad-b4a06a04571f"",""8055f94c-ed6b-43cf-b3aa-659c790942a8"",""a25ca145-086d-426e-9d64-e6f1a13f5a29"",""ccd8178e-6954-4b63-9ea3-6f8c601b9580"",""fca900e0-a536-4137-a77e-5a8025040e72""]",,2024-12-12T20:00:00Z,"Completed","ece86a13-c171-41db-a0f2-537ffdfca451","/dashboard-project/527792","f93f643b-5796-45aa-a79f-c8d0b609c130",,"7ac44f8a-6c52-4559-b16f-185332404de4","/project/527792","77c8d6d6-afd6-42d7-ac13-78bdda0d9926",true,0,,,,,"/dashboard-calendar/527792",,"527792","/calendar/527792"
"05bd34fe-837c-45da-987c-099d06911ed9",2024-01-16T10:33:04Z,2025-12-05T16:23:24Z,"e168cbe8-c8cb-4ec3-b920-be764ec09acc","Ride Skipper - Mobile Application","50718","[""144e9bd2-9ce5-4a4a-8708-dd5671829b1f"",""77c8d6d6-afd6-42d7-ac13-78bdda0d9926""]",,2024-04-14T20:00:00Z,"Cancelled","406585ca-1f8d-426d-bea3-2cdda83737fd","/dashboard-project/50718","a4951bc6-bc11-4719-918b-1c0361369e6f",,"05d391b7-ffaa-45a4-8827-6d519c92a5fd","/project/50718","77c8d6d6-afd6-42d7-ac13-78bdda0d9926",true,0,,,,,"/dashboard-calendar/50718",,"50718","/calendar/50718"
"074bb254-7dd7-4dbc-bf83-ef454dca960f",2022-11-30T20:15:11Z,2025-12-05T16:23:24Z,"e168cbe8-c8cb-4ec3-b920-be764ec09acc","Mamalu Kitchen - Rebuild on Editor X","61773","[""5c084634-6869-4e43-a13e-fbede7b594d4"",""8055f94c-ed6b-43cf-b3aa-659c790942a8""]",,2022-06-09T20:00:00Z,"Completed","ece86a13-c171-41db-a0f2-537ffdfca451","/dashboard-project/61773","07bd1c95-c349-4be3-a05e-877a405281f7",,"dc70bc91-f38b-4173-ba7f-8937f4ddc879","/project/61773","5c084634-6869-4e43-a13e-fbede7b594d4",,0,,,,,"/dashboard-calendar/61773",,"61773","/calendar/61773"
"0a03c5f0-5a62-4b02-a0ca-c4f8ef36a108",2023-03-31T05:35:57Z,2025-12-05T16:23:24Z,"e168cbe8-c8cb-4ec3-b920-be764ec09acc","Fayy Health - Custom Booking & Payment Integration","46850","[""5c084634-6869-4e43-a13e-fbede7b594d4"",""a3efb115-821a-43d3-94ad-afc4382a24df""]",,2023-04-10T20:00:00Z,"Completed","ece86a13-c171-41db-a0f2-537ffdfca451","/dashboard-project/46850","b0e41f7c-8f2d-4c2f-887e-2656eddf3c6a","<p> </p>","a5045902-b328-4709-95da-e9505a18daf1","/project/46850","5c084634-6869-4e43-a13e-fbede7b594d4",true,0,,,,,"/dashboard-calendar/46850",,"46850","/calendar/46850"
"0b139846-906a-4af2-80d6-36f2fea1ca79",2025-07-09T07:24:26Z,2025-12-05T16:23:24Z,"01f011dc-8d52-4de4-9524-780ccef3313b","Client Onboarding","56101","[""86b14473-f7c1-45b3-abba-dacc255875fe"",""8055f94c-ed6b-43cf-b3aa-659c790942a8"",""77c8d6d6-afd6-42d7-ac13-78bdda0d9926"",""a3efb115-821a-43d3-94ad-afc4382a24df""]",,2025-07-10T20:00:00Z,"Cancelled","ece86a13-c171-41db-a0f2-537ffdfca451","/dashboard-project/56101","4dca1898-daa1-403c-b70f-d37a0e1ec095",,"a8ba8ddb-edbd-4d4f-abf4-33060f6a2998","/project/56101","86b14473-f7c1-45b3-abba-dacc255875fe",true,0,,,,,"/dashboard-calendar/56101",,"56101","/calendar/56101"
"0b25e99a-684d-4cd5-a00c-face53101d2b",2023-03-07T09:20:00Z,2025-12-05T16:23:24Z,"e168cbe8-c8cb-4ec3-b920-be764ec09acc","Just Bespoke - Marketing Campaign 1","32790","[""5c084634-6869-4e43-a13e-fbede7b594d4"",""77c8d6d6-afd6-42d7-ac13-78bdda0d9926"",""144e9bd2-9ce5-4a4a-8708-dd5671829b1f""]",,2023-03-30T20:00:00Z,"Completed","3dfa2732-4093-4a45-b4a4-661907aeb0ef","/dashboard-project/32790","95e395d7-0d71-4943-aab0-4d2e8bb091f8",,"09cea7d5-f022-4638-a423-4898ec5bb593","/project/32790","77c8d6d6-afd6-42d7-ac13-78bdda0d9926",true,0,,,,,"/dashboard-calendar/32790",,"32790","/calendar/32790"
"0caa096a-d1f7-4917-b177-77ae0aa51869",2023-09-27T07:36:33Z,2025-12-05T16:23:24Z,"e168cbe8-c8cb-4ec3-b920-be764ec09acc","Al Matrooshi Brand Origination & Guidelines","10188","[""5c084634-6869-4e43-a13e-fbede7b594d4"",""bbfbe5c1-1ef3-4166-bdf4-96fc3f1e7255"",""c2b5f7ae-8db7-4f98-ba73-b2dbc1c40375""]",,2023-10-10T20:00:00Z,"Completed","86776c2e-a39f-43eb-8db3-02b55daceb08","/dashboard-project/10188","8d470f66-352c-4a1b-8668-774da3c08e70",,"cce2f2f0-fe68-4787-9a27-086de2d2d271","/project/10188","c2b5f7ae-8db7-4f98-ba73-b2dbc1c40375",true,0,,,,,"/dashboard-calendar/10188",,"10188","/calendar/10188"
"0cf428bd-0098-4524-8d14-b94053c5e6ab",2022-11-20T12:36:28Z,2025-12-05T16:23:24Z,"e168cbe8-c8cb-4ec3-b920-be764ec09acc","Kuwait Build & Design Week 2023","55545","[""5c084634-6869-4e43-a13e-fbede7b594d4"",""5d29f4a7-4e82-4141-9bad-b4a06a04571f"",""e29bb22d-c98b-402b-9b81-1551aa2adb26"",""11af1b74-7fd3-45bb-9d51-4dfe9c8a4055""]",,2023-02-10T20:00:00Z,"Completed","3dfa2732-4093-4a45-b4a4-661907aeb0ef","/dashboard-project/55545","5ce89196-d503-4960-a087-3d0d94018925",,"16175fb6-e901-4dec-af79-0038f4ca4d43","/project/55545","5c084634-6869-4e43-a13e-fbede7b594d4",true,0,,,,,"/dashboard-calendar/55545",,"55545","/calendar/55545"
"0e90ed6d-2dbc-48b2-aeea-fe5b0928abd5",2026-01-24T09:57:13Z,2026-01-24T09:57:49Z,"01f011dc-8d52-4de4-9524-780ccef3313b","Elite Vacations - Social Media & Website Blog","243416","[""86b14473-f7c1-45b3-abba-dacc255875fe"",""a1bf0c8d-7413-4891-861f-f83c093a57ef"",""01aa1d8a-504c-4f74-b0eb-16e63261cb39"",""94873ed1-9c45-497a-8260-be4ca80c41d6"",""ccd8178e-6954-4b63-9ea3-6f8c601b9580""]",,2027-01-30T20:00:00Z,"In Progress","3dfa2732-4093-4a45-b4a4-661907aeb0ef","/dashboard-project/243416","8e973dbb-d6fd-4cf8-94a8-10f51ec8f4a0",,"8815c7ae-6cfa-4f6b-84f3-362c9c1dcc45","/project/243416","86b14473-f7c1-45b3-abba-dacc255875fe",false,0,,,,,"/dashboard-calendar/243416",,,"/calendar/243416"
